ts	phase	decision	why	evidence	result
2026-09-17T01:14:00Z	audit-fix	Lower standalone authored rules through a complete public SandboxPolicy	The rule-only adapter previously bypassed document-level intrinsic validation, allowing present-empty MCP versions to be normalized before rejection	crates/openshell-policy/src/lib.rs; provider boundary regression test	provider imports and draft edits now apply the same authored validation as complete policy updates
2026-09-17T01:32:00Z	verification	Open a draft PR with production Rust checks green and fixture/curated-SDK failures explicit	The implementation is a usable architecture prototype, but converting 174 Rust test fixtures and the curated Go model is separate mechanical work that should not be hidden behind a green claim	cargo check --workspace; cargo clippy --workspace --lib --bins; cargo test --workspace --no-run; mise run go:ci	production Rust and focused boundary tests pass; all-target Rust and curated Go remain draft blockers
2026-09-18T04:05:12Z	compatibility	Supersede the temporary YAML compatibility codec with strict descriptor-driven protobuf-shaped YAML	The team chose one language-neutral authored shape and accepted breaking scalar and shorthand spellings	crates/openshell-policy-schema/src/generated.rs	bounded YAML decodes directly through the openshell.policy.v1 descriptor without a rewrite shim
2026-09-18T04:05:12Z	presence	Supersede present-empty MCP versions rejection; omitted null and empty select the same pinned default	Proto3 repeated fields do not preserve presence and policy YAML now follows protobuf semantics	proto/policy.proto; crates/openshell-core/src/mcp.rs	MCP versions is a repeated string and all absence-equivalent shapes materialize the default
2026-09-18T04:05:12Z	persistence	Supersede the clean-database requirement by preserving internal durable sandbox and provider-profile wire shapes	The public schema belongs at API and file boundaries; durable gateway state remains an internal implementation detail	crates/openshell-server/proto/storage.proto; crates/openshell-server/src/storage_proto.rs	existing database rows decode without a one-time migration while API reads project to public messages
2026-09-18T04:05:12Z	sdk	Remove runtime-only authority fields from the curated Go policy model and generate openshell.policy.v1 bindings	SDK callers must not be able to author advisor or provider-derived provenance	sdk/go/openshell/v1/types/network_policy.go; sdk/go/proto/policyv1/policy.pb.go	Go API models the public matcher oneofs recursive parameters tool matcher and MCP body limit
2026-09-18T05:05:00Z	canonicalization	Give scalar port and repeated ports spellings one internal policy identity	The public proto exposes both historical fields, while hashes, history deduplication, and size enforcement require equivalent authored policies to lower identically	crates/openshell-policy/src/lib.rs	validated policies materialize ports and retain the first effective port in the scalar field
2026-09-18T05:05:00Z	limits	Measure policy size after lowering the public message to its canonical internal representation	Compact public protobuf spellings must not bypass the policy limit when defaults and normalized fields expand internally	crates/openshell-server/src/grpc/validation.rs	boundary-size tests cover omitted empty and explicit MCP defaults at and above the limit
2026-09-18T05:05:00Z	providers	Treat provider-profile protobuf messages from every source as fallible authored input	External interceptors and stored user profiles can supply malformed policy fields; catalog construction must report a failed precondition instead of panicking	crates/openshell-server/src/provider_profile_sources.rs	malformed MCP versions remain unchanged through normalization and fail catalog validation
2026-09-18T05:20:00Z	main-merge	Keep main's explicit L7 append target and express its binaries and rule payloads with the public policy proto	The target closes an authorization ambiguity and belongs to the external UpdateConfig contract alongside its authored payload	proto/openshell.proto; crates/openshell-cli/src/policy_update.rs; crates/openshell-server/src/grpc/policy.rs	CLI and Go SDK send public target binaries and public allow or deny rules; the gateway lowers them before merge
2026-09-18T05:20:00Z	storage	Persist provider_attachment_epoch in the gateway-private sandbox wire message	Main added the field to SandboxSpec and dropping it during public-to-internal storage conversion would break provider readiness generation tracking	crates/openshell-server/proto/storage.proto; crates/openshell-server/src/storage_proto.rs	old rows decode with an empty epoch and new rows round-trip it without exposing internal policy fields
2026-09-18T05:54:27Z	strict-yaml	Reject YAML mapping keys that are not strings before ProtoJSON decoding	Noyalib intentionally stringifies scalar mapping keys, which would otherwise turn numeric, boolean, or null keys into different authored data	crates/openshell-policy-schema/src/generated.rs	bounded parsing is followed by a CST key check; quoted scalar-like strings remain valid
2026-09-18T05:54:27Z	limits	Apply the 256 KiB canonical policy limit to every mutation path	Create already enforced the limit, but full replacement, global replacement, and incremental merge could persist oversized policies	crates/openshell-server/src/grpc/policy.rs; crates/openshell-server/src/grpc/validation.rs	all replacement and merge paths reject oversized canonical policies with INVALID_ARGUMENT and a request-specific field path
2026-09-18T05:54:27Z	startup	Keep an invalid baked image policy fail-closed and repairable through the gateway	Silently substituting a fallback would weaken image restrictions, while terminating immediately would prevent an operator repair before first activation	crates/openshell-supervisor/src/lib.rs	the supervisor reports rejected admission, does not launch, and accepts a later valid gateway policy
